"grupa";"parametr";"liczba";"srednia";"sd";"mediana";"min";"max";"IQR"
"KONTROLA";"wiek";25;32,32;5,61;32;23;48;6
"CHOR1";"wiek";25;29,56;5,881;29;17;43;6
"CHOR2";"wiek";25;30,04;5,898;30;21;42;8
"KONTROLA";"hsCRP";25;5,295;3,997;4,22;0,758;14,395;4,55
"CHOR1";"hsCRP";25;6,103;8,825;3,966;0,488;42,65;2,671
"CHOR2";"hsCRP";25;5,536;4,646;3,445;0,335;19,212;6,531
"KONTROLA";"ERY";25;4,013;0,457;3,98;3,09;5,05;0,51
"CHOR1";"ERY";25;5,363;5,767;4,2;3,53;33;0,44
"CHOR2";"ERY";25;4,198;0,465;4,27;3,25;5,04;0,58
"KONTROLA";"PLT";25;225,88;63,813;214;147;434;66
"CHOR1";"PLT";25;225,28;54,223;217;128;336;87
"CHOR2";"PLT";25;209,12;75,223;195;91;456;51
"KONTROLA";"HGB";25;11,264;1,059;11,438;9,505;13,21;1,289
"CHOR1";"HGB";25;12,411;1,192;12,405;9,505;14,499;1,289
"CHOR2";"HGB";25;12,806;2,373;12,566;9,827;22,232;1,933
"KONTROLA";"HCT";25;0,338;0,03;0,339;0,279;0,389;0,033
"CHOR1";"HCT";25;0,364;0,031;0,363;0,28;0,405;0,036
"CHOR2";"HCT";25;0,346;0,073;0,36;0,042;0,412;0,06
"KONTROLA";"MCHC";25;34,403;1,12;34,549;32,057;36,044;1,495
"CHOR1";"MCHC";25;35,129;0,878;35,047;32,556;36,874;0,88
"CHOR2";"MCHC";25;35,552;1,291;35,545;32,888;38,867;1,163
"KONTROLA";"MON";25;0,76;0,188;0,76;0,35;1,25;0,21
"CHOR1";"MON";25;0,858;0,293;0,76;0,48;1,52;0,46
"CHOR2";"MON";25;0,953;1,298;0,66;0,14;7;0,33
"KONTROLA";"LEU";25;11,36;3,081;10,68;4,83;17,46;4,37
"CHOR1";"LEU";25;12,022;2,582;11,66;6,79;16,81;4,37
"CHOR2";"LEU";25;12,038;2,318;12;7,95;16,59;2,64
