"grupa";"parametr_1";"parametr_2";"metoda";"r";"p_value";"istotna";"kierunek";"sila"
"KONTROLA";"HGB";"ERY";"Spearman";0,51755;0,00806;"TAK";"dodatnia";"silna"
"KONTROLA";"HGB";"HCT";"Spearman";0,91672;0;"TAK";"dodatnia";"bardzo silna"
"KONTROLA";"LEU";"MON";"Spearman";0,38722;0,05583;"NIE";"dodatnia";"umiarkowana"
"KONTROLA";"hsCRP";"LEU";"Spearman";0,42538;0,03401;"TAK";"dodatnia";"umiarkowana"
"CHOR1";"HGB";"ERY";"Spearman";0,6443;0,00051;"TAK";"dodatnia";"silna"
"CHOR1";"HGB";"HCT";"Spearman";0,93618;0;"TAK";"dodatnia";"bardzo silna"
"CHOR1";"LEU";"MON";"Spearman";0,37452;0,06511;"NIE";"dodatnia";"umiarkowana"
"CHOR1";"hsCRP";"LEU";"Spearman";0,26769;0,19577;"NIE";"dodatnia";"slaba"
"CHOR2";"HGB";"ERY";"Spearman";0,8831;0;"TAK";"dodatnia";"bardzo silna"
"CHOR2";"HGB";"HCT";"Spearman";0,73696;3e-05;"TAK";"dodatnia";"bardzo silna"
"CHOR2";"LEU";"MON";"Spearman";-0,1001;0,63403;"NIE";"ujemna";"brak lub bardzo slaba"
"CHOR2";"hsCRP";"LEU";"Spearman";0,11699;0,57758;"NIE";"dodatnia";"brak lub bardzo slaba"
