"grupa";"parametr_1";"parametr_2";"metoda";"r";"p_value";"istotna";"kierunek";"sila"
"KONTROLA";"wiek";"hsCRP";"Spearman";-0,19799;0,34276;"NIE";"ujemna";"brak lub bardzo slaba"
"KONTROLA";"wiek";"ERY";"Spearman";0,56382;0,00333;"TAK";"dodatnia";"silna"
"KONTROLA";"wiek";"PLT";"Spearman";0,26351;0,2031;"NIE";"dodatnia";"slaba"
"KONTROLA";"wiek";"HGB";"Spearman";0,22433;0,28102;"NIE";"dodatnia";"slaba"
"KONTROLA";"wiek";"HCT";"Spearman";0,33263;0,10424;"NIE";"dodatnia";"umiarkowana"
"KONTROLA";"wiek";"MCHC";"Spearman";-0,40843;0,04266;"TAK";"ujemna";"umiarkowana"
"KONTROLA";"wiek";"MON";"Spearman";-0,06354;0,76286;"NIE";"ujemna";"brak lub bardzo slaba"
"KONTROLA";"wiek";"LEU";"Spearman";-0,51563;0,00834;"TAK";"ujemna";"silna"
"KONTROLA";"hsCRP";"ERY";"Spearman";0,28901;0,16116;"NIE";"dodatnia";"slaba"
"KONTROLA";"hsCRP";"PLT";"Spearman";0,13159;0,53066;"NIE";"dodatnia";"brak lub bardzo slaba"
"KONTROLA";"hsCRP";"HGB";"Spearman";0,18963;0,36393;"NIE";"dodatnia";"brak lub bardzo slaba"
"KONTROLA";"hsCRP";"HCT";"Spearman";0,24048;0,2469;"NIE";"dodatnia";"slaba"
"KONTROLA";"hsCRP";"MCHC";"Spearman";-0,20351;0,32921;"NIE";"ujemna";"slaba"
"KONTROLA";"hsCRP";"MON";"Spearman";-0,00577;0,97815;"NIE";"ujemna";"brak lub bardzo slaba"
"KONTROLA";"hsCRP";"LEU";"Spearman";0,42538;0,03401;"TAK";"dodatnia";"umiarkowana"
"KONTROLA";"ERY";"PLT";"Spearman";0,45428;0,02253;"TAK";"dodatnia";"umiarkowana"
"KONTROLA";"ERY";"HGB";"Spearman";0,51755;0,00806;"TAK";"dodatnia";"silna"
"KONTROLA";"ERY";"HCT";"Spearman";0,67873;0,00019;"TAK";"dodatnia";"silna"
"KONTROLA";"ERY";"MCHC";"Spearman";-0,5108;0,00907;"TAK";"ujemna";"silna"
"KONTROLA";"ERY";"MON";"Spearman";-0,1321;0,52905;"NIE";"ujemna";"brak lub bardzo slaba"
"KONTROLA";"ERY";"LEU";"Spearman";-0,14085;0,50187;"NIE";"ujemna";"brak lub bardzo slaba"
"KONTROLA";"PLT";"HGB";"Spearman";0,3156;0,12435;"NIE";"dodatnia";"umiarkowana"
"KONTROLA";"PLT";"HCT";"Spearman";0,37837;0,06218;"NIE";"dodatnia";"umiarkowana"
"KONTROLA";"PLT";"MCHC";"Spearman";-0,32466;0,11333;"NIE";"ujemna";"umiarkowana"
"KONTROLA";"PLT";"MON";"Spearman";0,14786;0,48059;"NIE";"dodatnia";"brak lub bardzo slaba"
"KONTROLA";"PLT";"LEU";"Spearman";0,12736;0,54408;"NIE";"dodatnia";"brak lub bardzo slaba"
"KONTROLA";"HGB";"HCT";"Spearman";0,91672;0;"TAK";"dodatnia";"bardzo silna"
"KONTROLA";"HGB";"MCHC";"Spearman";0,24372;0,24038;"NIE";"dodatnia";"slaba"
"KONTROLA";"HGB";"MON";"Spearman";-0,27541;0,1827;"NIE";"ujemna";"slaba"
"KONTROLA";"HGB";"LEU";"Spearman";-0,31914;0,11995;"NIE";"ujemna";"umiarkowana"
"KONTROLA";"HCT";"MCHC";"Spearman";-0,08367;0,6909;"NIE";"ujemna";"brak lub bardzo slaba"
"KONTROLA";"HCT";"MON";"Spearman";-0,22314;0,28364;"NIE";"ujemna";"slaba"
"KONTROLA";"HCT";"LEU";"Spearman";-0,33013;0,10703;"NIE";"ujemna";"umiarkowana"
"KONTROLA";"MCHC";"MON";"Spearman";0,00058;0,99781;"NIE";"dodatnia";"brak lub bardzo slaba"
"KONTROLA";"MCHC";"LEU";"Spearman";0,04587;0,82766;"NIE";"dodatnia";"brak lub bardzo slaba"
"KONTROLA";"MON";"LEU";"Spearman";0,38722;0,05583;"NIE";"dodatnia";"umiarkowana"
"CHOR1";"wiek";"hsCRP";"Spearman";0,21609;0,29952;"NIE";"dodatnia";"slaba"
"CHOR1";"wiek";"ERY";"Spearman";-0,10017;0,63377;"NIE";"ujemna";"brak lub bardzo slaba"
"CHOR1";"wiek";"PLT";"Spearman";0,20027;0,33712;"NIE";"dodatnia";"slaba"
"CHOR1";"wiek";"HGB";"Spearman";-0,12297;0,55814;"NIE";"ujemna";"brak lub bardzo slaba"
"CHOR1";"wiek";"HCT";"Spearman";-0,12201;0,56125;"NIE";"ujemna";"brak lub bardzo slaba"
"CHOR1";"wiek";"MCHC";"Spearman";-0,31902;0,1201;"NIE";"ujemna";"umiarkowana"
"CHOR1";"wiek";"MON";"Spearman";-0,16104;0,4419;"NIE";"ujemna";"brak lub bardzo slaba"
"CHOR1";"wiek";"LEU";"Spearman";0,04669;0,82461;"NIE";"dodatnia";"brak lub bardzo slaba"
"CHOR1";"hsCRP";"ERY";"Spearman";0,17122;0,41316;"NIE";"dodatnia";"brak lub bardzo slaba"
