"grupa";"parametr_1";"parametr_2";"metoda";"r";"p_value";"istotna";"kierunek";"sila"
"KONTROLA";"wiek";"ERY";"Spearman";0,56382;0,00333;"TAK";"dodatnia";"silna"
"KONTROLA";"wiek";"MCHC";"Spearman";-0,40843;0,04266;"TAK";"ujemna";"umiarkowana"
"KONTROLA";"wiek";"LEU";"Spearman";-0,51563;0,00834;"TAK";"ujemna";"silna"
"KONTROLA";"hsCRP";"LEU";"Spearman";0,42538;0,03401;"TAK";"dodatnia";"umiarkowana"
"KONTROLA";"ERY";"PLT";"Spearman";0,45428;0,02253;"TAK";"dodatnia";"umiarkowana"
"KONTROLA";"ERY";"HGB";"Spearman";0,51755;0,00806;"TAK";"dodatnia";"silna"
"KONTROLA";"ERY";"HCT";"Spearman";0,67873;0,00019;"TAK";"dodatnia";"silna"
"KONTROLA";"ERY";"MCHC";"Spearman";-0,5108;0,00907;"TAK";"ujemna";"silna"
"KONTROLA";"HGB";"HCT";"Spearman";0,91672;0;"TAK";"dodatnia";"bardzo silna"
"CHOR1";"ERY";"HGB";"Spearman";0,6443;0,00051;"TAK";"dodatnia";"silna"
"CHOR1";"ERY";"HCT";"Spearman";0,61501;0,00107;"TAK";"dodatnia";"silna"
"CHOR1";"HGB";"HCT";"Spearman";0,93618;0;"TAK";"dodatnia";"bardzo silna"
"CHOR1";"HGB";"MCHC";"Spearman";0,58357;0,0022;"TAK";"dodatnia";"silna"
"CHOR1";"HCT";"MCHC";"Spearman";0,41752;0,03783;"TAK";"dodatnia";"umiarkowana"
"CHOR2";"ERY";"HGB";"Spearman";0,8831;0;"TAK";"dodatnia";"bardzo silna"
"CHOR2";"ERY";"HCT";"Spearman";0,75145;1e-05;"TAK";"dodatnia";"bardzo silna"
"CHOR2";"PLT";"MCHC";"Spearman";-0,51937;0,0078;"TAK";"ujemna";"silna"
"CHOR2";"HGB";"HCT";"Spearman";0,73696;3e-05;"TAK";"dodatnia";"bardzo silna"
